code,name,sector33,close,per,pbr,peg,roe,op_margin,equity_ratio,dividend_yield,dividend_growth_3y,bps,revenue_growth,eps_growth,return_5d,return_1m,return_3m,return_6m,return_1y,sma50,sma100,sma200,sma50_prev,sma200_prev,rsi14,high60,vol_ratio,vol_contraction,zscore20,pct_52w_high,volatility_60,range60_ratio,market_cap,factor_value,factor_momentum,factor_quality,sector_momentum_3m
8306,メガバンク,7050,1850,9.8,0.78,,0.10,,0.55,0.041,0.06,2370,,,0.005,0.02,0.05,0.10,0.18,1820,1780,1700,1810,1690,58,1880,0.95,0.42,0.40,0.97,0.011,0.07,10000000000000,0.85,0.55,0.55,0.06
9984,グローバルテック,6050,8200,28.0,3.5,0.62,0.18,0.20,0.45,0.012,,2340,0.32,0.45,0.018,0.06,0.18,0.42,0.95,7900,7400,6800,7800,6700,66,8400,1.20,0.55,0.85,0.97,0.022,0.18,50000000000000,0.20,0.95,0.78,0.12
6920,半導体装置,3700,32000,18.0,4.5,0.36,0.22,0.25,0.52,0.010,0.10,7100,0.28,0.50,0.02,0.04,0.22,0.50,0.85,30000,28000,24000,29800,23900,62,33000,1.40,0.45,0.90,0.97,0.025,0.20,20000000000000,0.30,0.90,0.95,0.15
4502,ジェネリック医薬,3250,1200,12.0,0.55,,0.09,0.10,0.48,0.038,0.04,2180,,,-0.01,-0.05,-0.08,-0.12,-0.20,1240,1280,1320,1245,1325,38,1380,0.85,0.55,-0.40,0.87,0.014,0.10,3000000000000,0.75,0.10,0.45,-0.05
7203,自動車大手,3700,2400,8.5,0.95,,0.12,0.08,0.45,0.035,0.05,2530,,,0.005,0.01,0.03,0.05,0.12,2380,2350,2280,2375,2275,55,2450,0.90,0.42,0.30,0.98,0.013,0.08,35000000000000,0.78,0.45,0.55,0.04
2914,たばこ大手,2700,4100,15.0,1.8,,0.18,0.30,0.60,0.052,0.07,2280,,,0.003,0.01,0.02,0.04,0.10,4050,4010,3950,4040,3940,53,4180,0.88,0.45,0.25,0.98,0.012,0.06,7000000000000,0.70,0.40,0.85,0.03
3990,新興バイオ,3300,650,,,,,-0.20,-0.05,,,150,0.10,,-0.08,-0.32,-0.45,-0.55,-0.65,750,850,1000,760,1020,18,1400,1.10,0.65,-2.30,0.46,0.040,0.30,30000000000,0.20,0.05,0.10,-0.20
6758,大手電機,3650,15500,11.0,1.1,,0.15,0.10,0.50,0.025,0.06,14000,,,0.012,0.04,0.08,0.18,0.30,15000,14500,13500,14950,13400,60,15800,1.15,0.50,0.55,0.98,0.014,0.10,45000000000000,0.65,0.65,0.65,0.10
6502,重工,3700,650,9.0,0.85,,0.11,0.06,0.40,0.028,0.04,760,,,0.005,0.01,0.02,0.04,0.08,640,630,610,635,605,52,670,1.00,0.50,0.40,0.97,0.013,0.08,800000000000,0.80,0.42,0.50,0.05
2802,食品大手,1050,5300,18.0,1.5,,0.10,0.08,0.55,0.025,0.05,3530,,,0.002,0.01,0.02,0.04,0.06,5260,5220,5180,5255,5175,55,5400,0.85,0.40,0.25,0.98,0.010,0.05,2500000000000,0.55,0.40,0.55,0.04
